subject,scenario,gesture_sequence,gesture_type,gesture_name,start_frame,end_frame,num_frames,duration_seconds,fps,video_length_frames
subject_1,scenario_i_s,gesture_11,11,Screenshot,371,382,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_12,12,Thumb Up,1,405,405,20.25,20.0,405
subject_1,scenario_i_s,gesture_13,13,Clap,1,405,405,20.25,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,20,30,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,56,67,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,92,106,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,136,149,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,177,192,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,218,230,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,255,268,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,295,307,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,339,350,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_2,2,Swipe Right,377,389,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,14,23,10,0.5,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,48,60,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,79,90,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,109,120,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,144,153,10,0.5,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,175,185,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,211,222,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,248,261,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,282,287,6,0.3,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,306,321,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,342,354,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_3,3,Swipe Up,376,391,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,16,26,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,49,59,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,86,96,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,121,131,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,152,169,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,191,204,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,227,240,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,267,278,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,305,315,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,347,357,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_4,4,Swipe Down,390,399,10,0.5,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,28,40,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,69,84,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,103,127,25,1.25,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,150,164,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,186,201,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,227,241,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,266,283,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,308,325,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,349,366,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_5,5,Zoom In,396,405,10,0.5,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,6,25,20,1.0,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,45,66,22,1.1,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,81,100,20,1.0,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,122,138,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,158,175,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,195,212,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,229,245,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,266,280,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,302,320,19,0.95,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,342,359,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_6,6,Zoom Out,381,397,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,13,29,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,44,53,10,0.5,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,69,82,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,92,106,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,116,128,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,142,149,8,0.4,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,169,177,9,0.45,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,195,208,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,219,228,10,0.5,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,242,253,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,269,277,9,0.45,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,295,305,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,320,328,9,0.45,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,342,356,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,366,380,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_7,7,Select,399,405,7,0.35,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,11,31,21,1.05,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,42,56,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,77,97,21,1.05,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,107,125,19,0.95,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,140,158,19,0.95,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,167,184,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,198,210,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,229,248,20,1.0,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,261,283,23,1.15,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,292,308,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,322,339,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,354,373,20,1.0,20.0,405
subject_1,scenario_i_s,gesture_8,8,Double Tap,387,404,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,16,39,24,1.2,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,59,78,20,1.0,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,94,106,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,125,137,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,152,169,18,0.9,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,188,202,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,215,235,21,1.05,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,255,270,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,285,306,22,1.1,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,326,338,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,360,375,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_9,9,Rotate CW,392,405,14,0.7,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,1,13,13,0.65,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,51,66,16,0.8,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,105,122,18,0.9,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,166,177,12,0.6,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,218,234,17,0.85,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,282,301,20,1.0,20.0,405
subject_1,scenario_i_w,gesture_1,1,Swipe Left,348,370,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,4,15,12,0.6,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,37,71,35,1.75,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,94,129,36,1.8,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,164,189,26,1.3,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,216,251,36,1.8,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,282,314,33,1.65,20.0,405
subject_1,scenario_i_w,gesture_10,10,Rotate CCW,347,372,26,1.3,20.0,405
subject_1,scenario_i_w,gesture_11,11,Screenshot,1,7,7,0.35,20.0,405
subject_1,scenario_i_w,gesture_11,11,Screenshot,40,75,36,1.8,20.0,405
subject_1,scenario_i_w,gesture_11,11,Screenshot,102,147,46,2.3,20.0,405
subject_1,scenario_i_w,gesture_11,11,Screenshot,182,220,39,1.95,20.0,405
subject_1,scenario_i_w,gesture_11,11,Screenshot,256,294,39,1.95,20.0,405
subject_1,scenario_i_w,gesture_11,11,Screenshot,331,369,39,1.95,20.0,405
subject_1,scenario_i_w,gesture_12,12,Thumb Up,1,405,405,20.25,20.0,405
subject_1,scenario_i_w,gesture_13,13,Clap,1,405,405,20.25,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,1,11,11,0.55,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,47,62,16,0.8,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,104,120,17,0.85,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,168,184,17,0.85,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,222,247,26,1.3,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,279,294,16,0.8,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,337,353,17,0.85,20.0,405
subject_1,scenario_i_w,gesture_2,2,Swipe Right,398,405,8,0.4,20.0,405
subject_1,scenario_i_w,gesture_3,3,Swipe Up,1,19,19,0.95,20.0,405
subject_1,scenario_i_w,gesture_3,3,Swipe Up,63,78,16,0.8,20.0,405
subject_1,scenario_i_w,gesture_3,3,Swipe Up,131,147,17,0.85,20.0,405
subject_1,scenario_i_w,gesture_3,3,Swipe Up,200,218,19,0.95,20.0,405
subject_1,scenario_i_w,gesture_3,3,Swipe Up,280,290,11,0.55,20.0,405
subject_1,scenario_i_w,gesture_3,3,Swipe Up,344,355,12,0.6,20.0,405
subject_1,scenario_i_w,gesture_4,4,Swipe Down,48,74,27,1.35,20.0,405
subject_1,scenario_i_w,gesture_4,4,Swipe Down,97,131,35,1.75,20.0,405
subject_1,scenario_i_w,gesture_4,4,Swipe Down,151,171,21,1.05,20.0,405
subject_1,scenario_i_w,gesture_4,4,Swipe Down,220,232,13,0.65,20.0,405
subject_1,scenario_i_w,gesture_4,4,Swipe Down,280,294,15,0.75,20.0,405
subject_1,scenario_i_w,gesture_4,4,Swipe Down,344,366,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_5,5,Zoom In,1,21,21,1.05,20.0,405
subject_1,scenario_i_w,gesture_5,5,Zoom In,65,84,20,1.0,20.0,405
subject_1,scenario_i_w,gesture_5,5,Zoom In,136,158,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_5,5,Zoom In,212,234,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_5,5,Zoom In,285,307,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_5,5,Zoom In,365,387,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_6,6,Zoom Out,1,18,18,0.9,20.0,405
subject_1,scenario_i_w,gesture_6,6,Zoom Out,69,95,27,1.35,20.0,405
subject_1,scenario_i_w,gesture_6,6,Zoom Out,135,160,26,1.3,20.0,405
subject_1,scenario_i_w,gesture_6,6,Zoom Out,210,237,28,1.4,20.0,405
subject_1,scenario_i_w,gesture_6,6,Zoom Out,290,312,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_6,6,Zoom Out,357,385,29,1.45,20.0,405
subject_1,scenario_i_w,gesture_7,7,Select,13,28,16,0.8,20.0,405
subject_1,scenario_i_w,gesture_7,7,Select,73,96,24,1.2,20.0,405
subject_1,scenario_i_w,gesture_7,7,Select,148,170,23,1.15,20.0,405
subject_1,scenario_i_w,gesture_7,7,Select,228,260,33,1.65,20.0,405
subject_1,scenario_i_w,gesture_7,7,Select,297,315,19,0.95,20.0,405
subject_1,scenario_i_w,gesture_7,7,Select,366,387,22,1.1,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,1,29,29,1.45,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,43,92,50,2.5,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,110,155,46,2.3,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,189,235,47,2.35,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,271,316,46,2.3,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,345,382,38,1.9,20.0,405
subject_1,scenario_i_w,gesture_8,8,Double Tap,395,396,2,0.1,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,14,41,28,1.4,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,85,115,31,1.55,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,143,162,20,1.0,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,198,222,25,1.25,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,257,283,27,1.35,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,327,345,19,0.95,20.0,405
subject_1,scenario_i_w,gesture_9,9,Rotate CW,381,405,25,1.25,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,1,13,13,0.65,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,34,53,20,1.0,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,80,97,18,0.9,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,121,137,17,0.85,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,161,173,13,0.65,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,199,212,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,241,254,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,280,292,13,0.65,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,318,329,12,0.6,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,354,365,12,0.6,20.0,405
subject_1,scenario_o_d,gesture_1,1,Swipe Left,389,397,9,0.45,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,14,35,22,1.1,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,60,82,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,103,123,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,145,169,25,1.25,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,190,212,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,236,260,25,1.25,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,279,306,28,1.4,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,326,358,33,1.65,20.0,405
subject_1,scenario_o_d,gesture_10,10,Rotate CCW,384,405,22,1.1,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,32,58,27,1.35,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,90,120,31,1.55,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,148,167,20,1.0,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,209,226,18,0.9,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,269,287,19,0.95,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,328,347,20,1.0,20.0,405
subject_1,scenario_o_d,gesture_11,11,Screenshot,394,405,12,0.6,20.0,405
subject_1,scenario_o_d,gesture_12,12,Thumb Up,1,405,405,20.25,20.0,405
subject_1,scenario_o_d,gesture_13,13,Clap,1,405,405,20.25,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,26,40,15,0.75,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,66,80,15,0.75,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,106,119,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,148,164,17,0.85,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,185,198,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,226,240,15,0.75,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,271,288,18,0.9,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,312,322,11,0.55,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,352,367,16,0.8,20.0,405
subject_1,scenario_o_d,gesture_2,2,Swipe Right,394,405,12,0.6,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,35,44,10,0.5,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,77,90,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,121,134,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,169,184,16,0.8,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,217,230,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,265,278,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,314,325,12,0.6,20.0,405
subject_1,scenario_o_d,gesture_3,3,Swipe Up,355,371,17,0.85,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,47,65,19,0.95,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,105,125,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,158,178,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,216,237,22,1.1,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,272,289,18,0.9,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,325,345,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_4,4,Swipe Down,379,395,17,0.85,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,1,12,12,0.6,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,48,70,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,102,130,29,1.45,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,166,188,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,222,243,22,1.1,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,271,290,20,1.0,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,334,356,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_5,5,Zoom In,383,405,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,13,34,22,1.1,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,69,94,26,1.3,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,122,155,34,1.7,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,176,202,27,1.35,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,231,259,29,1.45,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,285,312,28,1.4,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,337,370,34,1.7,20.0,405
subject_1,scenario_o_d,gesture_6,6,Zoom Out,392,405,14,0.7,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,1,21,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,36,59,24,1.2,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,70,101,32,1.6,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,105,121,17,0.85,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,137,162,26,1.3,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,170,188,19,0.95,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,204,227,24,1.2,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,237,259,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,273,295,23,1.15,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,309,329,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,341,361,21,1.05,20.0,405
subject_1,scenario_o_d,gesture_7,7,Select,371,388,18,0.9,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,24,51,28,1.4,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,65,96,32,1.6,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,109,136,28,1.4,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,155,179,25,1.25,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,195,228,34,1.7,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,239,266,28,1.4,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,278,296,19,0.95,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,320,345,26,1.3,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,363,392,30,1.5,20.0,405
subject_1,scenario_o_d,gesture_8,8,Double Tap,402,405,4,0.2,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,12,42,31,1.55,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,71,108,38,1.9,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,129,165,37,1.85,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,187,213,27,1.35,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,243,269,27,1.35,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,297,333,37,1.85,20.0,405
subject_1,scenario_o_d,gesture_9,9,Rotate CW,358,394,37,1.85,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,6,14,9,0.45,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,37,46,10,0.5,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,72,81,10,0.5,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,111,120,10,0.5,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,147,156,10,0.5,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,181,192,12,0.6,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,217,228,12,0.6,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,251,261,11,0.55,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,286,299,14,0.7,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,324,334,11,0.55,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,363,369,7,0.35,20.0,405
subject_10,scenario_i_d,gesture_1,1,Swipe Left,397,405,9,0.45,20.0,405
subject_10,scenario_i_d,gesture_10,10,Rotate CCW,25,38,14,0.7,20.0,405
subject_10,scenario_i_d,gesture_10,10,Rotate CCW,54,69,16,0.8,20.0,405
subject_10,scenario_i_d,gesture_10,10,Rotate CCW,85,94,10,0.5,20.0,405
